web-scraper-order,web-scraper-start-url,område,område-href,nyheter,nyheter-href,trafik-och-drift,trafik-och-drift-href,underområde,underområde-href,under_under_område,under_under_område-href,content,under_under_under_område,under_under_under_område-href,under_content,pdfs,pdfs-href,nyhetstext,nyheter_pagination,nyhet,nyhet-href
"1706085289-1","https://kommun.falkenberg.se/","","","Alla nyheter","https://kommun.falkenberg.se/nyheter","Alla trafik- och driftmeddelanden","https://kommun.falkenberg.se/trafik-och-driftmeddelanden","","","","","","","","","","","","","",""
"1706085398-2","https://kommun.falkenberg.se/","Politik och demokrati","https://kommun.falkenberg.se/politik-och-demokrati","","","Alla trafik- och driftmeddelanden","https://kommun.falkenberg.se/trafik-och-driftmeddelanden","Nämnder","https://kommun.falkenberg.se/politik-och-demokrati/namnder-info","Valnämnden","https://kommun.falkenberg.se/politik-och-demokrati/namnder/valnamnden","Valnämnden är den politiska nämnd som ansvarar för val och folkomröstningar.Valnämnden är en lokal valmyndighet, vilket innebär att den ansvarar för planering och genomförande av valen till Europaparlamentet, riksdagen samt landstings- och kommunfullmäktige. Nämnden ansvarar också för genomförandet av nationella och kommunala folkomröstningar.


        

               
			   	Nämndens ledamöter och ersättare  
               


                    


    Valnämnd (VN)
    
        
            Namn
            Uppdrag
            Mejl
        
    
    
        
                Johan Ahlberg 
                Ordförande
                
                    
                Lars Agbrant (M)
                Vice ordförande
                
                    
                Ingela Gunnarsson (S)
                Ledamot
                
                    
                Stig Agnåker (C)
                Ledamot
                
                    
                Stefan Johansson (SD)
                Ledamot
                
                    
                Sandra Berg (KD)
                Ledamot
                
                    
                Lena Ludvigsson (V)
                Ledamot
                
                    
                Anders Malmström (L)
                Ledamot
                
                    
                Susanne Råbius (MP)
                Ledamot
                
                    
                Daniel Bäck (SD)
                Ersättare
                
                    
                Lars Fagerström (L)
                Ersättare
                
                    
                Cecilia Hansson (M)
                Ersättare
                
                    
                Jerk Jakobs (KD)
                Ersättare
                
                    
                Lennart Johnsson (V)
                Ersättare
                
                    
                Siv Nyman (C)
                Ersättare
                
                    
                Johan Risholm (MP)
                Ersättare
                
                    
                Olof (Olle) Torlycke (S)
                Ersättare
                
                        
        
    

    






        

               
			   	Kallelser och protokoll  
               


                    -        
    

    



Äldre protokoll från valnämnden","","","","","","","","",""
"1706085401-3","https://kommun.falkenberg.se/","Politik och demokrati","https://kommun.falkenberg.se/politik-och-demokrati","","","Alla trafik- och driftmeddelanden","https://kommun.falkenberg.se/trafik-och-driftmeddelanden","Nämnder","https://kommun.falkenberg.se/politik-och-demokrati/namnder-info","Överförmyndarnämnden","https://kommun.falkenberg.se/politik-och-demokrati/namnder/overformyndarnamnden","Överförmyndarnämnden är ansvarig för gode män, förvaltare och förmyndare. Falkenbergs, Varbergs och Marks kommuner samarbetar och har en gemensam överförmyndarnämnd – Överförmyndare i väst.Överförmyndarnämnden är en obligatorisk verksamhet som har som främsta uppgift att utreda behov av god man och förvaltare samt utöva tillsyn över gode män, förvaltare och förmyndare.

Nämnden är politiskt tillsatt, men nämndens uppdrag utförs av en förvaltning med tjänstemän. Tjänstemännen har sitt kontor i Varberg, men har mottagningskontor i Falkenberg och Kinna. 

    
                God man och förvaltare        
                God man och förvaltare finns för dem som på grund av sjukdom eller ålder behöver hjälp med att sköta sin ekonomi, bevaka sina rättigheter eller ta tillvara sina intressen. Att ha en god man är frivilligt, förvaltarskap är däremot tvingande.        
    
Överförmyndar­nämndens sammanträden
Överförmyndarnämnden sammanträder en gång i månaden, och fattar då beslut om sådant som ställföreträdarna vill göra för sina huvudmän. Syftet med att besluta detta i nämnden är att se till att huvudmannen inte drabbas av orättvisa.


        

               
			   	Nämndens ledamöter och ersättare  
               


                    


    Överförmyndarnämnd (OFN)
    
        
            Namn
            Uppdrag
            Mejl
        
    
    
        
                Lars Fagerström (L)
                Ordförande
                
                    
                Micheline Atallah Chahoud (C)
                Ledamot
                
                    
                Karin Nancke (M)
                Ersättare
                
                        
        
    

    






        

               
			   	Kallelser och protokoll  
               


                    Överförmyndarnämndens protokollÖverförmyndarnämndens protokoll 2023-12-11.pdfÖverförmyndarnämndens protokoll 2023-10-16.pdfÖverförmyndarnämndens protokoll 2023-08-21.pdfÖverförmyndarnämndens protokoll 2023-06-19.pdfÖverförmyndarnämndens protokoll 2023-03-13.pdfÖverförmyndarnämndens protokoll 2023-03-13, § 47.pdfÖverförmyndarnämndens protokoll 2023-02-20.pdfÖverförmyndarnämndens protokoll 2023-01-16.pdf-        
    

    



Äldre protokoll från överförmyndarnämnden

            

    
    
                        
                    

        
                                        Kontakta överförmyndarförvaltningen                            
        
    
        
        
                ofm@varberg.se
Telefon: 0340-880 00
Postadress: Överförmyndarnämnden, 432 80 Varberg
Överförmyndare (varberg.se)
Falkenberg – mottagningskontor:
Besöksadress: Holgersgatan 22
 Besökstid: Tisdagar 10-16, lunchstängt 12.30-13.30
Varberg – huvudkontor:
 Besöksadress: Engelbrektsgatan 15, 2 tr, Varberg
Besökstid: Måndag-onsdag samt fredag 10-12, torsdag 13-15","","","","","","","","",""
"1706085404-4","https://kommun.falkenberg.se/","Politik och demokrati","https://kommun.falkenberg.se/politik-och-demokrati","","","Alla trafik- och driftmeddelanden","https://kommun.falkenberg.se/trafik-och-driftmeddelanden","Nämnder","https://kommun.falkenberg.se/politik-och-demokrati/namnder-info","Socialnämnden","https://kommun.falkenberg.se/politik-och-demokrati/namnder/socialnamnden","Socialnämnden ansvarar för ett stort antal verksamheter som alla handlar om människors liv och hälsa.Om socialnämndenNämnden består av 13 ordinarie ledamöter och sju ersättare. Nämndens arbetsutskott, som består av några av nämndsledamöterna, förbereder samtliga ärenden som nämnden ska behandla. Vissa ärenden beslutar nämnden själv om, andra skickas vidare till kommunstyrelsen eller kommunfullmäktige för beslut. Arbetsutskottet kan också själv besluta i vissa frågor som nämnden har överlåtit åt utskottet. Socialnämnden har även ett socialutskott som behandlar individärenden.Förvaltningen ansvarar bland annat för:
äldreomsorgomsorg om personer med funktionsnedsättningstödinsatser för barn, unga och familjmissbruks- och beroendevårdekonomiskt stödflykting- och integrationsfrågorhemsjukvårdkvalitetsuppföljning och utvärdering av socialnämndens verksamheterserveringstillståndanhörigstödfrivilligverksamhet



        

               
			   	Nämndens ledamöter och ersättare  
               


                    


    Socialnämnd (SN)
    
        
            Namn
            Uppdrag
            Mejl
        
    
    
        
                Andreas Engebrethsen (S)
                Ordförande
                
                    
                Kim Johansen (S)
                1:e vice ordförande
                
                    
                Katrin Carlsson (C)
                2:e vice ordförande
                
                    
                Charlotta Jonson (M)
                Ledamot
                
                    
                Sara Grimpe Wernersson (S)
                Ledamot
                
                    
                Josefine Hedin (SD)
                Ledamot
                
                    
                Annie Nilsson (S)
                Ledamot
                
                    
                Gerd Stenström (M)
                Ledamot
                
                    
                Anita Andersson (KD)
                Ledamot
                
                    
                Monica Hansson (C)
                Ledamot
                
                    
                Loise Lysberg (SD)
                Ledamot
                
                    
                Lotta Strömblad (L)
                Ledamot
                
                    
                Ylva Rudling (MP)
                Ledamot
                
                    
                Monika Eriksson (KD)
                Ersättare
                
                    
                Lars Fagerström (L)
                Ersättare
                
                    
                Tomas Jansson (V)
                Ersättare
                
                    
                Caroline Johansson (C)
                Ersättare
                
                    
                Ruth Kalfholm (SD)
                Ersättare
                
                    
                Fabian Krook (S)
                Ersättare
                
                    
                Margareta Stenström (M)
                Ersättare
                
                        
        
    

    






        

               
			   	Kallelser och protokoll  
               


                    Socialnämndens protokollSocialnämndens protokoll 2023-12-19.pdfSocialnämndens protokoll 2023-11-21 §§ 182-198.pdfSocialnämndens protokoll 2023-10-24 §§ 161-181.pdfSocialnämndens protokoll 2023-09-19 §§ 143-160.pdfSocialnämndens protokoll 2023-08-22 §§ 122-141.pdfSocialnämndens protokoll 2023-06-20 §§ 105-121.pdfSocialnämndens protokoll 2023-05-23 §§ 86-97, 99-104.pdfSocialnämndens protokoll 2023-04-18 §§ 69-83.pdfSocialnämndens protokoll 2023-03-21    50-66.pdfSocialnämndens protokoll 2023-02-21 §§  32-48.pdfSocialnämndens protokoll 2023-01-24 §§ 11-26.pdfSocialnämndens protokoll 2023-01-10 §§ 1-2, 4-10.pdfSocialnämndens protokoll 2023-01-10 § 3.pdfSocialnämndens kallelseSocialnämndens kallelse 2024-01-23.pdfSocialnämndens kallelse 2023-12-19.pdfSocialnämndens kallelse 2023-11-21.pdfSocialnämndens kallelse 2023-10-24.pdfSocialnämndens kallelse 2023-09-19.pdfSocialnämndens kallelse 2023-08-22.pdfSocialnämndens kallelse 2023-06-20.pdfSocialnämndens kallelse 2023-05-23.pdfSocialnämndens kallelse 2023-04-18.pdfSocialnämndens kallelse 2023-03-21.pdfSocialnämndens kallelse 2023-02-21.pdfSocialnämndens kallelse 2023-01-24.pdf-        
    

    



Äldre protokoll från socialnämnden","","","","","","","","",""
"1706085407-5","https://kommun.falkenberg.se/","Politik och demokrati","https://kommun.falkenberg.se/politik-och-demokrati","","","Alla trafik- och driftmeddelanden","https://kommun.falkenberg.se/trafik-och-driftmeddelanden","Nämnder","https://kommun.falkenberg.se/politik-och-demokrati/namnder-info","Servicenämnden","https://kommun.falkenberg.se/politik-och-demokrati/namnder/servicenamnden","Servicenämnden har ansvar för och beslutar om ärenden som gäller service och tjänster inom kommunen.
Nämnden ansvarar för:

Kontaktcenter
Måltid Falkenberg
Internservice

Fordon
IT
Geodata
Lokalvård
Servicesupport


Inköp och upphandling

Om servicenämnden
Nämnden består av sju ordinarie ledamöter och fyra ersättare. Nämnden har en beredningsgrupp, som består av ordförande och vice ordförande. Beredningsgruppen förbereder alla ärenden som nämnden ska behandla. Vissa ärenden beslutar nämnden själv om, andra skickas vidare till kommunstyrelsen eller kommunfullmäktige för beslut.


        

               
			   	Nämndens ledamöter och ersättare  
               


                    


    Servicenämnd (SVN)
    
        
            Namn
            Uppdrag
            Mejl
        
    
    
        
                Markus Jöngren (MP)
                Ordförande
                
                    
                Ann-Margret Kristensson (C)
                Vice ordförande
                
                    
                Mikael Svensson (S)
                Ledamot
                
                    
                Charlotta Jonson (M)
                Ledamot
                
                    
                Ruth Kalfholm (SD)
                Ledamot
                
                    
                Barbro Sandinge (KD)
                Ledamot
                
                    
                Agneta Snygg (L)
                Ledamot
                
                    
                Lennart Johnsson (V)
                Ersättare
                
                    
                Kristina Lindberg (C)
                Ersättare
                
                    
                Alexandra Pentéus Allansson (KD)
                Ersättare
                
                    
                Stevan Vasic (M)
                Ersättare
                
                        
        
    

    






        

               
			   	Kallelser och protokoll  
               


                    Servicenämndens protokollServicenämndens protokoll 2023-12-14.pdfServicenämndens protokoll 2023-11-23.pdfServicenämndens protokoll 2023-10-26.pdfServicenämndens protokoll 2023-09-21.pdfServicenämndens protokoll 2023-08-24.pdfServicenämndens protokoll 2023-06-20 §§ 51-59 webbversion.pdfServicenämndens protokoll 2023-05-25 §§ 42-50 webbversion.pdfServicenämndens protokoll 2023-04-27 §§ 34-41 webbversion.pdfServicenämndens protokoll 2023-04-30 §§ 21-33 webbversion.pdfServicenämndens protokoll 2023-02-23 §§ 8-20 webbversion.pdfServicenämndens protokoll 2023-01-26 webbversion §§ 1-7.pdfServicenämndens kallelseKallelse servicenämnden 25 januari 2024.pdfKallelse servicenämnden 14 december 2023.pdfKallelse servicenämnden 23 november 2023.pdfKallelse servicenämnden 26 oktober 2023.pdfKallelse servicenämnden 21 september 2023.pdfServicenämndens kallelse 24 augusti 2023.pdfServicenämndens kallelse 20 juni 2023 .pdfServicenämndens kallelse 25 maj 2023.pdfServicenämndens kallelse 27 april 2023.pdfServicenämndens kallelse 30 mars 2023.pdfServicenämndens kallelse 23 februari 2023.pdfServicenämndens kallelse 15 december 2022.pdfServicenämndens kallelse 26 januari 2023.pdf-        
    

    



Äldre protokoll från servicenämnden","","","","","","","","",""
"1706085410-6","https://kommun.falkenberg.se/","Politik och demokrati","https://kommun.falkenberg.se/politik-och-demokrati","","","Alla trafik- och driftmeddelanden","https://kommun.falkenberg.se/trafik-och-driftmeddelanden","Nämnder","https://kommun.falkenberg.se/politik-och-demokrati/namnder-info","Miljö- och hälsoskyddsnämnden","https://kommun.falkenberg.se/politik-och-demokrati/namnder/miljo-och-halsoskyddsnamnden","Miljö- och hälsoskyddsnämnden är både en kommunal nämnd och en självständig myndighet.Som myndighet kan nämnden besluta om att ställa tvingande krav på till exempel företag i miljöskyddsfrågor.
Nämnden ansvarar för:

livsmedelskontroll
tillståndsprövning
miljöfrågor i kommunen
vissa hälsofrågor som är viktiga för kommunens invånare
att se miljöperspektivet i samhällsplanering

Om miljö- och hälsoskyddsnämnden
Nämnden består av sju ordinarie ledamöter och fyra ersättare. Nämndens beredning förbereder samtliga ärenden som nämnden ska behandla. Därefter tar de ett beslut eller skickar över det till kommunstyrelsen eller kommunfullmäktige för beslut.


        

               
			   	Nämndens ledamöter och ersättare  
               


                    


    Miljö- och hälsoskyddsnämnd (MHN)
    
        
            Namn
            Uppdrag
            Mejl
        
    
    
        
                Mikael Salomonsgård (S)
                Ordförande
                
                    
                Ninni Gustavsson (M)
                Vice ordförande
                
                    
                Jonathan Westman (S)
                Ledamot
                
                    
                Ulrika Persson (C)
                Ledamot
                
                    
                Christer Jarlow (SD)
                Ledamot
                
                    
                Jolita Nilsson (S)
                Ledamot
                
                    
                Maria Krantz (S)
                Ledamot
                
                    
                Sandra Berg (KD)
                Ersättare
                
                    
                Gustav Johansson (C)
                Ersättare
                
                    
                Ulf Norlin (M)
                Ersättare
                
                    
                Susanne Råbius (MP)
                Ersättare
                
                        
        
    

    






        

               
			   	Kallelser och protokoll  
               


                    Miljö- och hälsoskyddsnämndens protokollMiljö- och hälsoskyddsnämndens protokoll 2023-12-13.pdfMiljö- och hälsoskyddsnämndens protokoll 2023-11-27.pdfMiljö- och hälsoskyddsnämndens protokoll 2023-10-11.pdfMiljö- och hälsoskyddsnämndens protokoll 2023-09-13.pdfMiljö- och hälsoskyddsnämndens protokoll 2023-08-23.pdfMiljö- och hälsoskyddsnämndens protokoll 2023-06-14.pdfMiljö- och hälsoskyddsnämndens protokoll 2023-05-10.pdfMiljö- och hälsoskyddsnämndens protokoll 2023-04-12.pdfMiljö- och hälsoskyddsnämndens protokoll 2023-03-09.pdfMiljö- och hälsoskyddsnämndens protokoll 2023-01-25.pdfMiljö- och hälsoskyddsnämndens kallelseMiljö- och hälsoskyddsnämndens kallelse 2023-12-13.pdfMiljö- och hälsoskyddsnämndens kallelse 2023-11-27.pdfMiljö- och hälsoskyddsnämndens kallelse 2023-10-11.pdfMiljö- och hälsoskyddsnämndens kallelse 2023-09-13.pdfMiljö- och hälsoskyddsnämndens kallelse 2023-08-23.pdfMiljö- och hälsoskyddsnämndens kallelse 2023-06-14.pdfMiljö- och hälsoskyddsnämndens kallelse 2023-05-10.pdfMiljö- och hälsoskyddsnämndens kallelse 2023-04-12.pdfMiljö- och hälsoskyddsnämndens kallelse 2023-03-09.pdfMiljö- och hälsoskyddsnämndens kallelse 2023-01-25.pdf-        
    

    



Äldre protokoll från miljö- och hälsoskyddsnämnden","","","","","","","","",""
"1706085413-7","https://kommun.falkenberg.se/","Politik och demokrati","https://kommun.falkenberg.se/politik-och-demokrati","","","Alla trafik- och driftmeddelanden","https://kommun.falkenberg.se/trafik-och-driftmeddelanden","Nämnder","https://kommun.falkenberg.se/politik-och-demokrati/namnder-info","Kultur-, fritids- och tekniknämnden","https://kommun.falkenberg.se/politik-och-demokrati/namnder/kultur-fritids-och-tekniknamnden","Kultur-, fritids- och tekniknämnden hanterar och beslutar i frågor som rör bygg och projekt, gata och trafik, kommunala anläggningar, ungdomsfrågor, kultur och idrott.
Nämnden ansvarar för:

samordning av kommunens kultur- och fritidsverksamhet
museer och bibliotek
konstnärlig utsmyckning
ungdomsverksamhet inom åldrarna 12-20 år
fritidsverksamhet inom LSS
stöd och bidrag till föreningar och organisationer
konsument-, budget- och skuldrådgivning
kulturmiljövård i kommunen
idrottsanläggningar
allmänna badplatser, parker, grönområden, stränder och allmänna toaletter
förvaltning och utveckling av laxfisket i Ätran
fastighetsförvaltning
investeringsprojekt, t ex nybyggnation av kommunala lokaler och anläggningsprojekt
lokalsamordning för kommunens förvaltningar
trafiksäkerhetsfrågor
vägar, gång- och cykelvägar
gatubelysning
parkeringsfrågor

Nämnden består av 11 ordinarie ledamöter och 6 ersättare. Rebecka Kristensson (S) är ordförande, Sara Kärrbrand (S) är förste vice ordförande och Claes Claesson (C) är andre vice ordförande.


        

               
			   	Nämndens ledamöter och ersättare  
               


                    


    Kultur-, fritid- och tekniknämnd (KFT)
    
        
            Namn
            Uppdrag
            Mejl
        
    
    
        
                Rebecka Kristensson (S)
                Ordförande
                
                    
                Sara Kärrbrand (S)
                1:e vice ordförande
                
                    
                Claes Claesson (C)
                2:e vice ordförande
                
                    
                Lars Agbrant (M)
                Ledamot
                
                    
                Daniel Bäck (SD)
                Ledamot
                
                    
                Björn Jönsson (S)
                Ledamot
                
                    
                Håkan Fermergård (KD)
                Ledamot
                
                    
                Agnes Agnieszka Polak Ljung (M)
                Ledamot
                
                    
                Kjell Kristiansson (L)
                Ledamot
                
                    
                Maria Larsson (C)
                Ledamot
                
                    
                Lena Berglund (MP)
                Ledamot
                
                    
                Jan-Åke Björklöw (V)
                Ersättare
                
                    
                Bo Björkner (L)
                Ersättare
                
                    
                Petra Eriksson (C)
                Ersättare
                
                    
                Irene Hedenbjörk (KD)
                Ersättare
                
                    
                Lasse Logenius-Hallberg (SD)
                Ersättare
                
                    
                Lars-Gunnar Perlinger (M)
                Ersättare
                
                        
        
    

    






        

               
			   	Kallelser och protokoll  
               


                    Kultur-, fritids- och tekniknämndens protokollKultur-, fritids- och tekniknämndens protokoll 2023-12-18.pdfKultur-, fritids- och tekniknämndens protokoll 2023-11-23.pdfKultur-, fritids- och tekniknämndens protokoll 2023-10-19.pdfKultur-, fritids- och tekniknämndens protokoll 2023-09-21.pdfKultur-, fritids- och tekniknämndens protokoll 2023-08-24.pdfKultur-, fritids- och tekniknämndens protokoll 2023-06-22, 2.pdfKultur-, fritids- och tekniknämndens protokoll 2023-06-22, 1.pdfKultur-, fritids- och tekniknämndens protokoll 2023-05-25 2.pdfKultur-, fritids- och tekniknämndens protokoll 2023-05-25 - 1.pdfKultur-, fritids- och tekniknämndens protokoll 2023-04-21.pdfKultur-, fritids- och tekniknämndens protokoll 2023-03-23.pdfKultur-, fritids- och tekniknämndens protokoll 2023-02-23.pdfKultur-, fritids- och tekniknämndens protokoll 2023-01-26.pdfKultur-, fritids- och tekniknämndens kallelseKallelse KFTN 2023-12-18.docxKallelse KFTN 2023-11-23.docxKallelse KFTN 2023-10-19.docxKallelse KFTN 2023-09-21.docxKallelse KFTN 2023-08-24.docxKallelse KFTN 2023-06-22.docxKallelse KFTN 2023-05-25 2.docxKallelse KFTN 2023-05-25 1.docxKallelse KFTN 2023-04-21.docxKallelse KFTN 2023-03-23.docxKallelse KFTN 2023-02-23.docxKallelse kultur-, fritids- och tekniknämnden 2023-01-26.docxKallelse KFTN 2022-12-19.docx-        
    

    



Äldre protokoll för kultur-, fritids- och tekniknämnden","","","","","","","","",""
"1706085416-8","https://kommun.falkenberg.se/","Politik och demokrati","https://kommun.falkenberg.se/politik-och-demokrati","","","Alla trafik- och driftmeddelanden","https://kommun.falkenberg.se/trafik-och-driftmeddelanden","Nämnder","https://kommun.falkenberg.se/politik-och-demokrati/namnder-info","Bygglovsnämnden","https://kommun.falkenberg.se/politik-och-demokrati/namnder/bygglovsnamnden","Bygglovsnämnden beslutar i frågor som gäller till exempel bygglov, rivningslov och marklov.När någon ansöker om bygglov ska nämnden avgöra om projektet stämmer överens med den detaljplan som finns för området, och ta ställning till hur det är tänkt att bli. Nämnden ska också titta på omgivningarna och se hur det som planerar att byggas passar ihop med det som redan finns där.
Om bygglovsnämnden
Nämnden består av fem ordinarie ledamöter och tre ersättare.


        

               
			   	Nämndens ledamöter och ersättare  
               


                    


    Bygglovsnämnd (BLN)
    
        
            Namn
            Uppdrag
            Mejl
        
    
    
        
                Yvonne Nilsson (S)
                Ordförande
                
                    
                Kerstin Angel (C)
                Vice ordförande
                
                    
                Marianne Lundh (KD)
                Ledamot
                
                    
                Henning Stener (M)
                Ledamot
                
                    
                Marcus Jörevik (SD)
                Ledamot
                
                    
                Per-Gunnar Andersson (C)
                Ersättare
                
                    
                Mattias Björding (S)
                Ersättare
                
                    
                Tommy Nilsson (MP)
                Ersättare
                
                        
        
    

    






        

               
			   	Kallelser och protokoll  
               


                    Bygglovsnämndens kallelse2024-01-25.pdf-        
    

    



Äldre protokoll från bygglovsnämnden

    
                
        Länkar
            
                
    
    
                
            Läs mer om bygglov","","","","","","","","",""
"1706085419-9","https://kommun.falkenberg.se/","Politik och demokrati","https://kommun.falkenberg.se/politik-och-demokrati","","","Alla trafik- och driftmeddelanden","https://kommun.falkenberg.se/trafik-och-driftmeddelanden","Nämnder","https://kommun.falkenberg.se/politik-och-demokrati/namnder-info","Barn- och utbildningsnämnden","https://kommun.falkenberg.se/politik-och-demokrati/namnder/barn-och-utbildningsnamnden","Barn- och utbildningsnämnden ansvarar för och beslutar om ärenden som gäller all utbildnings­verksamhet för barn och ungdomar 1-19 år, kommunal vuxenutbildning och yrkeshögskola.
Om barn- och utbildningsnämnden
Nämnden består av 13 ordinarie ledamöter och sju ersättare. Nämnden har en beredning som förbereder alla ärenden. Vissa ärenden kan nämnden behandla och fatta beslut om själv. Andra ärenden får gå vidare till kommunstyrelsen eller kommunfullmäktige för beslut.


        

               
			   	Nämndens ledamöter och ersättare  
               


                    


    Barn- och utbildningsnämnd (BUN)
    
        
            Namn
            Uppdrag
            Mejl
        
    
    
        
                Peter Dygården (S)
                Ordförande
                
                    
                Gabriella Hulander (S)
                1:e vice ordförande
                
                    
                Mikael Svensson (M)
                2:e vice ordförande
                
                    
                Cecilia Hansson (M)
                Ledamot
                
                    
                Alf Johansson (SD)
                Ledamot
                
                    
                Åsa Norberg (S)
                Ledamot
                
                    
                John Störby (S)
                Ledamot
                
                    
                Anna Perborn Andersson (C)
                Ledamot
                
                    
                Håkan Eliasson (KD)
                Ledamot
                
                    
                Jenny Fredman (C)
                Ledamot
                
                    
                Petra Hygrell (L)
                Ledamot
                
                    
                Anders Jansson (SD)
                Ledamot
                
                    
                Emma Lindkvist (MP)
                Ledamot
                
                    
                Kjell Andersson (SD)
                Ersättare
                
                    
                Moa Lindqvist (C)
                Ersättare
                
                    
                Lena Ludvigsson (V)
                Ersättare
                
                    
                Marianne Lundh (KD)
                Ersättare
                
                    
                Anders Malmström (L)
                Ersättare
                
                    
                Karin Nancke (M)
                Ersättare
                
                    
                Olof (Olle) Torlycke (S)
                Ersättare
                
                        
        
    

    






        

               
			   	Kallelser och protokoll  
               


                    Barn- och utbildningsnämndens protokollProtokoll Barn- och utbildningsnämnden 2023-12-21 §§ 162-173 webbversion.pdfProtokoll Barn- och utbildningsnämnden 2023-11-30, §§ 145-161, webbversion.pdfProtokoll Barn- och utbildningsnämnden 2023-10-26, webbversion.pdfBarn- och utbildningsnämndens protokoll 2023-09-28 §§ 120-134, webbversion.pdfProtokoll Barn- och utbildningsnämnden 2023-08-24 §§ 101-119 - webbversion.pdfProtokoll BUN 2023-08-24 Direktjustering - webbversion.pdfBarn- och utbildningsnämnden protokoll 2023-06-21 §§ 86-98.pdfBarn- och utbildningsnämnden protokoll 2023-05-25 §§ 70-85, sekretessuppgifter borttagna.pdfBarn- och utbildningsnämnden protokoll 2023-04-27, §§ 58-69 - webbversion.pdfBarn- och utbildningsnämnden protokoll 2023-03-30 §§ 42-57 - webbversion .pdfBarn- och utbildningsnämnden protokoll 2023-03-30 §§ 38-41 - direktjustering .pdfBarn- och utbildningsnämnden protokoll 2023-02-16 §§ 27-37.pdfBarn- och utbildningsnämnden protokoll 2023-01-26 §§ 12-26.pdfBarn- och utbildningsnämnden protokoll 2023-01-12.pdfBarn- och utbildningsnämndens kallelseKallelse Barn- och utbildningsnämnden 2024-01-25.pdfKallelse Barn- och utbildningsnämnden 2023-12-21.pdfKallelse Barn- och utbildningsnämnden 2023-11-30.pdfKallelse Barn- och utbildningsnämnden 2023-10-26.pdfKallelse Barn- och utbildningsnämnden 2023-09-28.pdfKallelse Barn- och utbildningsnämnden 2023-08-24.pdfKallelse Barn- och utbildningsnämnden 2023-08-24 Direktjustering.pdfKallelse Barn- och utbildningsnämnden 2023-06-21.pdfKallelse Barn- och utbildningsnämnden 2023-05-25.pdfKallelse Barn- och utbildningsnämnden 2023-04-27.pdfKallelse Barn- och utbildningsnämnden 2023-03-30.pdfKallelse Barn- och utbildningsnämnden 2023-03-30 Direktjustering.pdfKallelse Barn- och utbildningsnämnden 2023-02-16.pdfKallelse BUN 2023-01-26.pdfKallelse Barn- och utbildningsnämnden 2023-01-12.pdfKallelse Barn- och utbildningsnämnden 2022-11-30.pdf-        
    

    



Äldre protokoll från barn- och utbildningsnämnden","","","","","","","","",""
"1706085425-10","https://kommun.falkenberg.se/","Politik och demokrati","https://kommun.falkenberg.se/politik-och-demokrati","","","Alla trafik- och driftmeddelanden","https://kommun.falkenberg.se/trafik-och-driftmeddelanden","Kommunstyrelsens utskott","https://kommun.falkenberg.se/politik-och-demokrati/kommunstyrelsens-utskott-info","Kommunstyrelsens näringslivs- och arbetsmarknadsutskott","https://kommun.falkenberg.se/politik-och-demokrati/kommunstyrelsens-utskott/kommunstyrelsens-naringslivs-och-arbetsmarknadsutskott","Kommun­­styrelsens när­ingslivs- och arbets­marknads­utskott är ett av kommunstyrelsens beredande organ. Det består av sju ordinarie ledamöter och inga ersättare. 
Per Svensson (S) är ordförande och Anneli Andelén (C) är vice ordförande. 
Näringlivs- och arbetsmarknadsutskottet bereder frågor om bland annat:

Kommunens arbete med att allmänt stödja och främja sysselsättningen.
Samverkan mellan kommunens berörda verksamheter om främjande av arbete och sysselsättning.
Ledning och samordning av kommunens arbete med näringslivs- och etableringsfrågor.
Utveckling av levande centrum och landsbygd i kommunen.



        

               
			   	Utskottets ledamöter  
               


                    


    Kommunstyrelsens näringlivs- och arbetsmarknadsutskott (KSNAMU)
    
        
            Namn
            Uppdrag
            Mejl
        
    
    
        
                Per Svensson (S)
                Ordförande
                
                    
                Anneli Andelén (C)
                Vice ordförande
                
                    
                Kerstin Rosell (S)
                Ledamot
                
                    
                Petra Hygrell (L)
                Ledamot
                
                    
                Sandra Johansson (M)
                Ledamot
                
                    
                Anders Jansson (SD)
                Ledamot
                
                    
                Susan Pettersson (KD)
                Ledamot
                
                        
        
    

    






        

               
			   	Protokoll  
               


                    Kommunstyrelsens näringslivs- och arbetsmarknadsutskott protokollKommunstyrelsens näringslivs- och arbetsmarknadsutskotts protokoll 2023-12-01.pdfKommunstyrelsens näringslivs- och arbetsmarknadsutskotts protokoll 2023-10-09.pdfKommunstyrelsens näringslivs- och arbetsmarknadsutskotts protokoll 2023-06-15.pdfKommunstyrelsens näringslivs- och arbetsmarknadsutskotts protokoll 2023-04-28.pdfKommunstyrelsens näringslivs- och arbetsmarknadsutskotts protokoll 2023-02-16.pdf-        
    

    





    
    
        
        

            
        Läs äldre protokoll","","","","","","","","",""
