ID,Title,Ingress,Keywords,Description,"Publication Date","Modification Date",URL,Breadcrumb,Source,Content
6,"Support och felanmälan telefoni",,-,,"2020-09-04 11:07:45","2022-07-29 09:46:17",/service-support-och-stod-i-arbetet/telefoni/support-och-felanmalan-telefoni,service-support-och-stod-i-arbetet,INTERNAL,"<p>Beställningar, felanmälan, information om nyanställda/ändringar läggs som ärende i vår helpdesk.</p>
<p>Bifoga blanketten om du behöver göra ändringar och tillägg.</p>
<p> <a href=""index.php?option=com_docman&amp;view=document&amp;alias=2112-blankett-andringar-telefoni&amp;category_slug=it-och-telefoni-hjalp-support-och-felanmalan&amp;Itemid=721"" class=""doclink"">Ändringar och tillägg av telefoni, blankett</a></p>"
9,"Skrivare och nätverk","Beställningar, felanmälan, information om nyanställda/ändringar läggs som ärende i vår helpdesk.
Bifoga blanketten om du behöver göra ändringar och tillägg.
 Ändringar och tillägg av telefoni, blankett","Skrivare, skrivarföljare, följa-mig skrivare, nätverk, Admin-nätet, Surf-nätet, 1-1 nätet, 1-1teacher n",,"2020-09-04 11:08:46","2021-10-29 19:57:45",/service-support-och-stod-i-arbetet/it/skrivare-och-natverk,service-support-och-stod-i-arbetet,INTERNAL,"<h2>Skrivare</h2>
<p class=""xmsonormal"">På en del av skrivarna i kommunen finns så kallat follow me. Detta innebär att om du väljer follow me när du skriver ut kan du hämta dina utskrifter i vilken skrivare som helst som är ansluten.</p>
<p>Om du inte har någon follow me skrivare i närheten så kontakta IT-service för hjälp. </p><h2>Nätverk</h2>
<p>Inom Falkenbergs kommun har vi möjlighet att koppla upp oss till olika wifi-nät. Beroende på var du befinner dig kan näten heta olika.</p>
<h3>Det här är våra nät:</h3>
<h4>Admin</h4>
<p>Det är samma nät som när man ansluter via kabel. Nätet ska finnas som standard i alla datorer som levereras från IT-service.</p>
<h4>Surf</h4>
<p>Surf är vårt gästnät som används för att koppla upp sig mot internet. Nätet kräver inloggning, något du får av IT-service: <a href=""mailto:itservice@falkenberg.se"">itservice@falkenberg.se</a></p>
<h4>1-1</h4>
<p>1-1 är vårt elevnät</p>
<h4>1-1teacher</h4>
<p>Det här nätet är vårt lärarnät</p>
<h4>Utb</h4>
<p>Vårt utbildningsnät, det är samma nät som när man ansluter med kabel i skolorna.</p>
<h4>FBG-internet</h4>
<p>I Falkenberg finns det ett antal surfzoner med gratis wifi som du enkelt kan ansluta dig till. Nätverket heter ""FBG-internet"" och du behöver inget lösenord. Läs mer härlänk till annan webbplats</p>
<h4>Info-tv</h4>
<p>Trådlöst nät för informationsskärmar.</p>"
10,"Fjärruppkoppling och VPN","Skrivare
På en del av skrivarna i kommunen finns så kallat follow me. Detta innebär att om du väljer follow me när du skriver ut kan du hämta dina utskrifter i vilken skrivare som helst som är ansluten.
Om du inte har någon follow me skrivare i närheten så kontakta IT-service för hjälp. ",-,,"2020-09-04 11:08:58","2021-04-27 10:15:48",/service-support-och-stod-i-arbetet?id=10,service-support-och-stod-i-arbetet,INTERNAL,
12,"System och programvaror",,-,,"2020-09-04 11:09:19","2020-12-18 08:16:07",/?id=12,service-support-och-stod-i-arbetet,INTERNAL,
13,"System A-Ö",,-,,"2020-09-04 11:09:31","2021-02-10 17:53:21",/chefsstod?id=13,service-support-och-stod-i-arbetet,INTERNAL,
14,"Program A-Ö",,-,,"2020-09-04 11:09:38","2021-02-10 17:53:13",/?id=14,service-support-och-stod-i-arbetet,INTERNAL,
15,"Köpa, beställa och boka",,-,,"2020-09-04 11:09:49","2020-12-18 08:16:07",/?id=15,service-support-och-stod-i-arbetet,INTERNAL,
16,"Resor och logi",,-,,"2020-09-04 11:09:56","2023-06-13 15:42:00",/service-support-och-stod-i-arbetet/kopa-bestalla-och-boka/resor,service-support-och-stod-i-arbetet,INTERNAL,"<p>Ibland kan du behöva resa i tjänsten. Dock kan många möten eller konferensen ordnas via videokonferens eller telefon. Enligt Falkenbergs kommuns resepolicy ska vi alltid i första hand välja resfritt möte, om möjligt. Så innan du bokar in din resa, undersök möjligheterna för att kunna stanna på arbetsplatsen.</p>
<p>Falkenbergs kommuns resepolicy beskriver vad vi som medarbetare har att förhålla oss till när vi behöver resa i tjänsten. Det finns olika typer av färdmedel, men vi ska i första hand välja det mest kostnadseffektiva, säkra och mest miljövänliga sättet att resa. </p>
<p> <a href=""index.php?option=com_docman&amp;view=document&amp;alias=1355-motes-och-resepolicy-forslag-version-3-tillganglighetsanpassad&amp;category_slug=kopa-bestalla-och-boka&amp;Itemid=721"" class=""doclink"">Mötes- och resepolicy</a></p><h2 id=""h-Valavfardmedel"">Val av färdmedel</h2>
<p>Falkenbergs kommuns resepolicy beskriver hur vi bör prioritera när vi väljer vårt färdmedel. Vid korta sträckor inom tätorter ska resandet i största möjliga utsträckning ske med cykel eller till fots, framförallt där destinationen vid dessa färdsätt nås inom 15 minuter, undantaget för medarbetare med funktionsnedsättning eller med speciell tjänsteutövning som inte är möjlig med cykel eller kollektivtrafik. Såhär ser prioriterinsgordningen för val av färdmedel ut:</p>
<ol>
<li>Undvik resa. Möten ska i möjligaste mån ske och erbjudas på distans (gäller inte politiska nämndssammanträden).</li>
<li>Cykla eller gå om mötet är inom några kilometer och där destinationen kan nås inom 15 minuter.</li>
<li>Åk tåg eller buss.</li>
<li>Använd poolbil eller verksamhetsbil.</li>
<li>I sista hand, när inget av ovanstående är ett alternativ, kan privat bil användas.</li>
</ol>
<p>Om flera ska använda bil för samma tjänsteresa ska de anställda eller förtroendevalda samåka, om det inte finns uppenbara praktiska hinder.</p>
<h3>Flyg</h3>
<p>En tjänsteresa som måste genomföras med flyg ska alltid samrådas med chef. Skäl till att resa med flyg kan vara utlandsresa, resa längre än 60 mil, eller när den totala sammanvägningen inte medger något annat alternativ. Anslutningsresor ska i möjligaste mån ske med kollektivtrafik. Om taxi väljs bör miljöbil beställas.</p>
<h2>Boka resebiljetter, hotell och logi</h2>
<p>Falkenbergs kommun har upphandlade avtal för bokning av boende och resor. Om du ska boka boende eller konferensanläggning kan du söka fram upphandlade hotell och kursgårdar i kommunens avtalskatalog. I dessa fall tar du själv direktkontakt med anläggningen.</p>
<p><a href=""https://contracts.tendsign.com/ContractArea/Details/163095?eId=vsem8gfRVFwZHw9azO%2fD9wA%3d"" target=""_self"">Läs avtalet för resor och hotellbokningar</a></p>

<h3 class=""heading"">Boka resor med kollektivtrafik</h3>
<p id=""h-Resamedkollektivtrafik"" class=""heading"">Att resa kollektivt är miljövänligt och kostnadseffektivt. Om du inte kan gå eller cykla till ditt resmål bör du i första hand välja att resa kollektivt med buss eller tåg.</p>




<h4 id=""h-Hallandstrafiken"" class=""subheading"">Hallandstrafiken</h4>
<p class=""normal"">För lokala resor och resor inom regionen samt till och från Göteborg och Malmö ska Hallandstrafiken användas när detta är möjligt.</p>
<p class=""normal"">Varje förvaltning har en företagsadministratör som lägger upp administratörer som möjliggör för dig som medarbetare att betala biljetter köpta i Hallandstrafikens app via Allpay företagsfaktura. Resekortet har utgått i kortform och finns numera bara i app. Nya administratörer ska maila namn, epost, förvaltning/avdelning, fakturareferens till företagsadministratören på er förvaltning så lägger de upp er på Hallandstrafikens webb.</p>

<p class=""normal"">Nedan finns manualer för hur man går tillväga, både för administratörer och personal</p><h3 id=""h-Tagresor"" class=""subheading"">Tågresor</h3>
<p class=""normal"">Tågresor och övriga resor bokar du via Big Travel i Göteborg enligt upphandlat avtal. Det går också bra att boka resor via <a href=""https://www.sj.se"" target=""_self"">SJ</a>.</p><h2 id=""h-Resatillutlandet"">Resa till utlandet</h2>
<p>Tjänsteresor till utlandet bokas även dessa via Big Travel. Tänk på att traktamente för utlandsresor skiljer sig från traktamenten inom Sverige. Du kan inte ansöka om utlandstraktamente i Personec Själservice, utan du lämnar istället in en speciell blankett till din löneadministratör. </p>
<p>Läs mer om traktamenten och hur du går tillväga på sidan <a href=""index.php?Itemid=427"">Erättningar vid resor</a></p>"
18,Bilpool,"Ibland kan du behöva resa i tjänsten. Dock kan många möten eller konferensen ordnas via videokonferens eller telefon. Enligt Falkenbergs kommuns resepolicy ska vi alltid i första hand välja resfritt möte, om möjligt. Så innan du bokar in din resa, undersök möjligheterna för att kunna stanna på arbetsplatsen.
Falkenbergs kommuns resepolicy beskriver vad vi som medarbetare har att förhålla oss till när vi behöver resa i tjänsten. Det finns olika typer av färdmedel, men vi ska i första hand välja det mest kostnadseffektiva, säkra och mest miljövänliga sättet att resa. 
 Mötes- och resepolicy",-,,"2020-09-04 11:10:08","2023-04-06 09:22:40",/service-support-och-stod-i-arbetet/kopa-bestalla-och-boka/bil-och-cykel,service-support-och-stod-i-arbetet,INTERNAL,"<p>Du som är anställd i kommunen kan hyra en bil eller cykel ifrån vår pool.</p><p>Läs i guiden nedan för att ta reda på hur du blir användare, bokar och använder poolen, får behörighet till garaget, tankar bilen med mera. </p><h2>Logga in i bilpoolen</h2>
<p>Du skapar själv din användare första gången du loggar in i bilpoolssystemet. Det finns olika sätt att hitta inloggningssidan:</p>
<ul>
<li>Du hittar inloggningssidan via ""mina program"" här på intranätet </li>
<li>Du kan klicka på länken längre ner på denna sidan.</li>
<li>Du kan själv skriva adressen till webbplatsen i adressfältet.</li>
<li>Genom att spara sidan som ett bokmärke i din webbläsare <a href=""spara-egna-lankar"" target=""_self"">Se här hur du sparar egna länkar</a></li>
</ul><h2>Boka bil via appen Portify GO</h2>
<p>När du loggat in via webbsidan kan du ladda ner appen Portify GO för att göra en bokning. Läs mer om appen i guiden <a href=""https://falkenberg.infocaption.com/536.guide"" target=""_self"">Hur fungerar bilpoolen</a>.</p><h2>Grupp på intranätet</h2>
<p>Bli gärna medlem i vår grupp på intranätet där du kan få löpande information från fordonsenheten. </p><h2>Några snabba om bilpoolen</h2>
<ul>
<li>Du kan hämta ut din bil närsomhelst under din bokade tid. </li>
<li>Nya munstycken till alkolåset finns i förrådet till höger om porten. Spara ditt munstycke och återanvänd detta flera gånger. </li>
<li>Lämna alltid tillbaka bilen med minst halv tank i både gas och bensintanken.</li>
<li>Städa ur bilen!</li>
<li>Glöm inte lämna tillbaka nyckeln i nyckelskåpet.  </li>
<li>Kostnaden belastar automatiskt din verksamhet. Uppföljning sker i Poolbilsapporten i Raindance. </li>
</ul>"
19,Transport,"Du som är anställd i kommunen kan hyra en bil eller cykel ifrån vår pool.",-,,"2020-09-04 11:10:25","2021-02-10 17:51:53",/?id=19,service-support-och-stod-i-arbetet,INTERNAL,
